Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3.0,1.0,22,1.0,0.0,7.25,0,0.0
1.0,0.0,38,1.0,0.0,71.2833,1,1.0
3.0,0.0,26,0.0,0.0,7.925,0,1.0
1.0,0.0,35,1.0,0.0,53.1,0,1.0
3.0,1.0,35,0.0,0.0,8.05,0,0.0
3.0,1.0,38,0.0,0.0,8.4583,2,0.0
1.0,1.0,54,0.0,0.0,51.8625,0,0.0
3.0,1.0,2,3.0,1.0,21.075,0,0.0
3.0,0.0,27,0.0,2.0,11.1333,0,1.0
2.0,0.0,14,1.0,0.0,30.0708,1,1.0
3.0,0.0,4,1.0,1.0,16.7,0,1.0
1.0,0.0,58,0.0,0.0,26.55,0,1.0
3.0,1.0,20,0.0,0.0,8.05,0,0.0
3.0,1.0,39,1.0,5.0,31.275,0,0.0
3.0,0.0,14,0.0,0.0,7.8542,0,0.0
2.0,0.0,55,0.0,0.0,16.0,0,1.0
3.0,1.0,2,4.0,1.0,29.125,2,0.0
2.0,1.0,35,0.0,0.0,13.0,0,1.0
3.0,0.0,31,1.0,0.0,18.0,0,0.0
3.0,0.0,19,0.0,0.0,7.225,1,1.0
2.0,1.0,35,0.0,0.0,26.0,0,0.0
2.0,1.0,34,0.0,0.0,13.0,0,1.0
3.0,0.0,15,0.0,0.0,8.0292,2,1.0
1.0,1.0,28,0.0,0.0,35.5,0,1.0
3.0,0.0,8,3.0,1.0,21.075,0,0.0
3.0,0.0,38,1.0,5.0,31.3875,0,1.0
3.0,1.0,31,0.0,0.0,7.225,1,0.0
1.0,1.0,19,3.0,2.0,263.0,0,0.0
3.0,0.0,19,0.0,0.0,7.8792,2,1.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
1.0,1.0,40,0.0,0.0,27.7208,1,0.0
1.0,0.0,31,1.0,0.0,146.5208,1,1.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
2.0,1.0,66,0.0,0.0,10.5,0,0.0
1.0,1.0,28,1.0,0.0,82.1708,1,0.0
1.0,1.0,42,1.0,0.0,52.0,0,0.0
3.0,1.0,25,0.0,0.0,7.2292,1,1.0
3.0,1.0,21,0.0,0.0,8.05,0,0.0
3.0,0.0,18,2.0,0.0,18.0,0,0.0
3.0,0.0,14,1.0,0.0,11.2417,1,1.0
3.0,0.0,40,1.0,0.0,9.475,0,0.0
2.0,0.0,27,1.0,0.0,21.0,0,0.0
3.0,1.0,31,0.0,0.0,7.8958,1,0.0
2.0,0.0,3,1.0,2.0,41.5792,1,1.0
3.0,0.0,19,0.0,0.0,7.8792,2,1.0
3.0,1.0,32,0.0,0.0,8.05,0,0.0
3.0,1.0,24,1.0,0.0,15.5,2,0.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
3.0,1.0,20,2.0,0.0,21.6792,1,0.0
3.0,0.0,18,1.0,0.0,17.8,0,0.0
3.0,1.0,7,4.0,1.0,39.6875,0,0.0
3.0,1.0,21,0.0,0.0,7.8,0,0.0
1.0,0.0,49,1.0,0.0,76.7292,1,1.0
2.0,0.0,29,1.0,0.0,26.0,0,1.0
1.0,1.0,65,0.0,1.0,61.9792,1,0.0
1.0,1.0,36,0.0,0.0,35.5,0,1.0
2.0,0.0,21,0.0,0.0,10.5,0,1.0
3.0,1.0,28,0.0,0.0,7.2292,1,0.0
2.0,0.0,5,1.0,2.0,27.75,0,1.0
3.0,1.0,11,5.0,2.0,46.9,0,0.0
3.0,1.0,22,0.0,0.0,7.2292,1,0.0
1.0,0.0,38,0.0,0.0,80.0,0,1.0
1.0,1.0,45,1.0,0.0,83.475,0,0.0
3.0,1.0,4,3.0,2.0,27.9,0,0.0
1.0,1.0,48,0.0,0.0,27.7208,1,0.0
